uid,address,avg_rate,city,country,latitude,longitude,name,price,thumbnail
780858b3-d783-4ca0-88bc-144f1814ab28,4 Richmond Mews Westminster Borough London W1D 3DH United Kingdom,9.5,London,United Kingdom,51.5139805,-0.1337948,The Soho Hotel,125,
bc18378b-dfbd-408c-b515-2d579db21ce9,11 Rue de l Arcade 8th arr 75008 Paris France,8.1,Paris,France,48.871723,2.3235377,Op ra Marigny,282,
5b2d42c5-301a-4af7-95f5-3d55a16abdf6,Via Giovanni Battista Fauch Sempione 20154 Milan Italy,8.5,Milan,Italy,45.4859983,9.1637603,UNA Hotel Scandinavia,290,
d5a76bb8-c461-4414-a91c-1f142f83952c,25 Rue Vernet 8th arr 75008 Paris France,8.6,Paris,France,48.871859,2.2978177,Hotel Vernet,72,
4f7d92c9-219b-4ec4-af5b-452fa274b247,45 St Martin s Lane Westminster Borough London WC2N 4HX United Kingdom,9.0,London,United Kingdom,51.5104696,-0.1265824,St Martins Lane A Morgans Original,318,
4419da74-8916-413e-94ea-67d0d07b9316,80 86 Belgrave Road Westminster Borough London SW1V 2BJ United Kingdom,8.6,London,United Kingdom,51.4901051,-0.1381355,The Belgrave Hotel,87,
ce839980-3084-4ed9-8bc6-459715721ad9,6 Avenue Victor Hugo 16th arr 75116 Paris France,7.0,Paris,France,48.8729666,2.2926226,Hotel Royal Elys es,334,
a82ded85-1d28-48e2-b7b6-eaad7b0f2826,101 Buckingham Palace Road Westminster Borough London SW1W 0SJ United Kingdom,8.4,London,United Kingdom,51.4956657,-0.1452793,The Grosvenor,386,
8a8667f0-0b9d-4931-9972-cbc1a74e097f,Via Giovanni Nicotera 9 Niguarda 20161 Milan Italy,8.5,Milan,Italy,45.5099969,9.1739942,Acca Palace,260,
55b2be01-bd3b-42ca-9f63-3fd742bd3deb,419 437 Hackney Road London E2 8PP United Kingdom,7.8,London,United Kingdom,51.531979,-0.061598,The RE London Shoreditch,253,
60d7738d-51d1-49fb-84b2-68d9d48935b1,Sant Pau 9 11 Ciutat Vella 08001 Barcelona Spain,8.7,Barcelona,Spain,41.3799209,2.1728181,Hotel Espa a Ramblas,393,
5553ac43-cba7-43ae-9a60-bdde0b496874,49 Rue La Fayette 9th arr 75009 Paris France,8.1,Paris,France,48.8753359,2.3414617,Best Western Premier Op ra Faubourg Ex Hotel Jules ,280,
b5b7c9e6-1ac0-44eb-89fa-b153a0686e86,Plaza Espa a 6 8 Sants Montju c 08014 Barcelona Spain,8.4,Barcelona,Spain,41.3750293,2.1491172,Catalonia Barcelona Plaza,226,
dcd9d0fb-a5e7-4dff-b220-373df388d9f8,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,8.0,London,United Kingdom,51.4925138,-0.1787917,Doubletree by Hilton London Kensington,136,
