country,city,uid,address,avg_rate,days_since_review,name,price,review_count,thumbnail
Netherlands,Amsterdam,00fe8408-4d20-4cfb-9599-0e5373334759,Vijzelstraat 49 Amsterdam City Center 1017 HE Amsterdam Netherlands,8.2,353,Albus Hotel Amsterdam City Centre,214,564,
Netherlands,Amsterdam,036307ce-b43a-49ef-b100-c6667a63a63b,Eerste Constantijn huygensstraat 26G Oud West 1054 BR Amsterdam Netherlands,8.1,414,Amadi Park Hotel,340,1615,
Netherlands,Amsterdam,045869f0-16b3-4d0a-8e31-b7a647c001dc,Prins Hendrikkade 108 Amsterdam City Center 1011 AK Amsterdam Netherlands,8.3,119,Grand Hotel Amr th Amsterdam,226,1530,
Netherlands,Amsterdam,07a8ac68-1534-459c-88e0-2a0aeeea2fae,Leeuwendalersweg 21 Bos en Lommer 1055 JE Amsterdam Netherlands,7.4,111,Best Western Blue Tower Hotel,260,3869,
Netherlands,Amsterdam,0946a195-eef6-44ae-9d2a-72fadec4537d,Prinsengracht 444 Amsterdam City Center 1017 KE Amsterdam Netherlands,8.4,625,Dikker en Thijs Fenice Hotel,119,1971,
Netherlands,Amsterdam,0a8e89d9-7545-4d59-b709-05c423c48b97,Ijburglaan 539 Zeeburg 1087 BE Amsterdam Netherlands,8.4,309,Amadi Panorama Hotel,260,2586,
Netherlands,Amsterdam,0ee20b09-6de7-4a81-8c01-4d9d45ef98db,Oude Haagseweg 20 Slotervaart 1066 BW Amsterdam Netherlands,7.8,262,Mercure Hotel Amsterdam West,393,1945,
Netherlands,Amsterdam,0f775e7b-ce04-4255-8604-8a333ae3f0dd,Spuistraat 288 292 Amsterdam City Center 1012 VX Amsterdam Netherlands,8.2,227,NH City Centre Amsterdam,248,3417,
Netherlands,Amsterdam,0fcf3dc8-e242-4c2b-b5d9-89c8a145a0dd,Rembrandtplein 44 Amsterdam City Center 1017 CV Amsterdam Netherlands,7.4,136,Royal Amsterdam Hotel,141,627,
Netherlands,Amsterdam,12e787a9-22c2-4c98-872d-53a5fac27936,Damrak 93 94 Amsterdam City Center 1012 LP Amsterdam Netherlands,7.9,341,Hotel Amsterdam De Roode Leeuw,358,631,
Netherlands,Amsterdam,13d1d862-6d12-4c56-b6a0-af009889a331,Stadhouderskade 7 Oud West 1054 ES Amsterdam Netherlands,7.7,686,NH Amsterdam Centre,322,1574,
Netherlands,Amsterdam,14610bb7-2018-49a9-9934-5b17e8b19f9b,Prins Hendrikkade 59 72 Amsterdam City Center 1012 AD Amsterdam Netherlands,8.6,231,NH Collection Amsterdam Barbizon Palace,205,2865,
Netherlands,Amsterdam,1532eab6-ae38-4893-a223-5ecbd82e68b8,IJdock 6 Amsterdam City Center 1013 MM Amsterdam Netherlands,8.8,108,Room Mate Aitana,69,4097,
Netherlands,Amsterdam,1544d6c1-1ad8-4f29-96f1-37fc12360ac7,Piet Heinkade 11 Zeeburg 1019 BR Amsterdam Netherlands,8.4,550,M venpick Hotel Amsterdam City Centre,118,1925,
Netherlands,Amsterdam,16c1bd8b-1652-4420-9ced-e29e1c2c5f7f,George Gershwinlaan 101 Zuideramstel 1082 MT Amsterdam Netherlands,9.0,203,Crowne Plaza Amsterdam South,135,1349,
Netherlands,Amsterdam,176b6846-ac2d-4a70-8e88-3fc9be988ea6,Prinsengracht 587 Amsterdam City Center 1067 HT Amsterdam Netherlands,9.3,269,Andaz Amsterdam Prinsengracht A Hyatt Hotel,253,851,
Netherlands,Amsterdam,18a1b428-630d-4ed2-a54e-a126134a7ad6,Rembrandtplein 26 36 Amsterdam City Center 1017 CV Amsterdam Netherlands,7.7,551,NH Amsterdam Schiller,208,1667,
Netherlands,Amsterdam,1a85c813-fd38-42b2-acac-8bba08d20476,Delflandlaan 15 Slotervaart 1062 EA Amsterdam Netherlands,8.7,710,Best Western Premier Hotel Couture,156,8177,
Netherlands,Amsterdam,200d07f5-3e7b-4c3d-b7c7-e2f09fe9c3bf,Naritaweg 1 Westpoort 1043 BP Amsterdam Netherlands,8.6,409,Mercure Amsterdam Sloterdijk Station,383,3643,
Netherlands,Amsterdam,213ca74d-ed02-4c7a-8a96-8b75979c92ca,Spuistraat 175 Amsterdam City Center 1012 VN Amsterdam Netherlands,8.4,107,W Amsterdam,123,802,
Netherlands,Amsterdam,214ac40f-fda2-410d-8775-1f32fcf03fcf,Fizeaustraat 2 Oost 1097 SC Amsterdam Netherlands,9.1,112,Hotel V Fizeaustraat,244,1708,
Netherlands,Amsterdam,23f79978-4cc7-45a8-a701-3f3687c464c2,Dam 9 Amsterdam City Center 1012 JS Amsterdam Netherlands,8.4,174,NH Collection Amsterdam Grand Hotel Krasnapolsky,342,4686,
Netherlands,Amsterdam,24bf4745-0865-4d02-adcb-a68ad49928d4,Oudezijds Voorburgwal 197 Amsterdam City Center 1012 EX Amsterdam Netherlands,9.2,336,Sofitel Legend The Grand Amsterdam,382,870,
Netherlands,Amsterdam,272224ca-6659-463b-8c66-5dfc013334bc,Apollolaan 101 105 Oud Zuid 1077 AN Amsterdam Netherlands,7.5,18,Best Western Delphi Hotel,216,372,
Netherlands,Amsterdam,29ff9daf-316a-4e61-91b7-26f63253a513,Hendrikje Stoffelstraat 1 Slotervaart 1058 GC Amsterdam Netherlands,8.7,292,WestCord Fashion Hotel Amsterdam,177,5236,
Netherlands,Amsterdam,2caad165-e427-4f98-a778-0baee3d6b24d,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,8.4,67,DoubleTree by Hilton Amsterdam Centraal Station,57,3911,
Netherlands,Amsterdam,30f06b04-a453-48ca-a1fa-acc1bfd15ad9,John M Keynesplein 2 Slotervaart 1066 EP Amsterdam Netherlands,7.9,187,Dutch Design Hotel Artemis,262,2167,
Netherlands,Amsterdam,30f2a0c2-7944-4307-adba-e0487abeba31,Van Baerlestraat 27 Oud Zuid 1071 AN Amsterdam Netherlands,9.2,205,Conservatorium Hotel,317,592,
