hotel_uid,review_uid,additional_scoring,flag_processed,flag_validated,negative_review,negative_review_words,positive_review,positive_review_words,reviewer_nationality,reviewer_reviews_count,reviewer_score
418ddedc-c9a8-4e4e-950e-ab9a4838af1b,be871700-2b5a-11b2-8080-808080808080,252,,, No mention on website or at check in about need to have swimming cap and flip flops for Spa Clearly we could have bought these with us if we had known but had to pay 5EUROpp to buy new ones in order to able to access Spa Then no control in the spa over people using them as many people went in but didn t wear the hats at all ,72, Very clean good location,5, United Kingdom ,9,10.0
418ddedc-c9a8-4e4e-950e-ab9a4838af1b,4a42d600-2aeb-11b2-8080-808080808080,252,,, Furniture in the room looked tired They installed cheap laminate floors which made a squeaky noise even while walking with no shoes on The board at the edge of the laminate was loose and made a clapping sound every time your stepped on it Bathroom door wouldn t close unless slammed hardly Bathrooms towels old and scratchy Our window faced a tight squared enclosed outdoor space on top of the swimming pool which had a glass top so you can see people inside the pool from your window If you open the window you can smell all the chlorine from the pool and of course zero sunlight as it was facing the enclosed space with other rooms windows Our room rate included the so called SPA access which is basically a mini pool 1 meter to 1 2 meters deep a tiny Jacuzzi for 2 people a mini sauna for 4 people a mini steam room and 4 dark shower cabins The SPA has no changing rooms and provides no towels You have to come prepared swimsuit on and bring your towels from your room The lockers are in the same space with the pool area and did not lock at all Supposedly you have to insert a 1 euro coin and the key will release I inserted 1 euro and the key did not release eating my coin Most of the lockers were occupied and all the keys were in the lockers with someone s stuff in it You basically leave your belonging unlocked and unattended Since there are no changing rooms and floors are all wet you simply have to wrap the towel around you and walk to your room in your wet swimsuit Not sure why this was called a SPA We saw no attendants of any kind in the SPA area to address our concerns and questions Next morning around 9am the cleaning lady enters the room unannounced She saw me in my underwear and quickly exited saying sorry in Spanish Downstairs restaurant food was not good Location was close to a metro station however the neighborhood itself looked abandoned semi industrial area with lots of graffiti and boarded up businesses ,367, Quick and efficient check in Reception staff accommodating and spoke good English Well organized baggage room Excellent breakfast ,20, United States of America ,14,4.6
418ddedc-c9a8-4e4e-950e-ab9a4838af1b,7c447600-2aea-11b2-8080-808080808080,252,,, The walls very thin and I could hear the neightboors The swimming pool was smaller than on the pictures and the air conditionar in the hotel was set tu very cold compared to outside Outside it was approximately 30 35 degrees but inside of the hotel it was maybe 17 19 ,53, The personal was very friendly and spook English They always advised and tried to help The room was always very clean ,23, Slovakia ,5,7.9
bf9bc8ac-c2aa-4835-b3d5-1499605d65fc,16ac8e00-2b75-11b2-8080-808080808080,409,,, Room cleaner window broken frame dirty very unhappy wth Booking com No phone no no and to my email that U advertised the room cheaper I like u guys but not when behave like cheapoair flim flam artists R Chillemi,41, Location Staff,3, United States of America ,3,7.0
bf9bc8ac-c2aa-4835-b3d5-1499605d65fc,cb4d7600-2b64-11b2-8080-808080808080,409,,, Could not buy a coffee at the bar at 11 as the machine was shut down,17, The bar,3, United Kingdom ,1,9.2
bf9bc8ac-c2aa-4835-b3d5-1499605d65fc,62d04e00-2b63-11b2-8080-808080808080,409,,, Dirty,2, Location,2, Germany ,2,5.4
bf9bc8ac-c2aa-4835-b3d5-1499605d65fc,7f17bf00-2b52-11b2-8080-808080808080,409,,,No Negative,0, Could not have asked for a better hotel whilst staying in London My sister and I had bought a trip to London for my Mom s 60th birthday and we thought The Grand was reasonable The room was big compared to others I ve stayed in in London and the room was ready upon arrival at 11 30 which was a pleasant surprise We checked in and were on our way When we returned in the evening the sofa bed was made up and extra towels were in the room as requested The staff could not have done any more for us and the location was brilliant only a 2 minute walk to Charing Cross Tube Station ,119, United Kingdom ,4,10.0
bf9bc8ac-c2aa-4835-b3d5-1499605d65fc,7f350e00-2b31-11b2-8080-808080808080,409,,, Watch out for prices in the bar they add 12 5 Service to everything Go to one of the cafes next door for breakfast and save 30 a head Room price quoted did not include VAT so watch for such extras ,43, Bed very comfortable and room very quiet ask for one at the back no view but you will sleep soundly Location is one of the best around for things to walk to and for transport hub ,38, United Kingdom ,24,8.8
bf9bc8ac-c2aa-4835-b3d5-1499605d65fc,13bbf600-2b2e-11b2-8080-808080808080,409,,, Complimentary chilled water available nearby but the ice machines on our floor and the one above were both inoperative by nighttime although working again in the morning No late night residents bar ,34, Very comfortable good sized bed Period high ceilinged room with ample space Effective and quiet air conditioning View overlooking leafy Northumberland Avenue All this in a standard room in The Grand ,33, United Kingdom ,1,9.2
bf9bc8ac-c2aa-4835-b3d5-1499605d65fc,e03c5e00-2b2d-11b2-8080-808080808080,409,,, no view from window to speak of also very noisy at night due to vent shaft outside,18, central location ,4, United Kingdom ,9,8.0
